customer_id,name,gender,senior_citizen,age,partner,dependents,tenure_months,contract_type,monthly_charges,total_charges,payment_method,internet_service,phone_service,streaming_tv,streaming_movies,online_security,online_backup,device_protection,tech_support,paperless_billing,churn
CUST-01001,Thomas Lee,Male,0,41,Yes,No,30,One year,28.24,813.72,Credit card,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No
CUST-01002,Andrew Brown,Male,1,80,No,No,3,Month-to-month,110.33,333.01,Mailed check,Fiber optic,Yes,Yes,Yes,Yes,No,No,No,No,Yes
CUST-01003,Lisa Thomas,Male,0,32,Yes,No,9,Month-to-month,100.31,864.21,Mailed check,Fiber optic,Yes,Yes,Yes,No,No,No,No,No,No
CUST-01004,Elizabeth Lopez,Male,0,40,No,No,1,Month-to-month,107.64,113.16,Electronic check,Fiber optic,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes
CUST-01005,Michael Young,Female,1,79,No,No,51,Two year,93.49,4783.42,Credit card,Fiber optic,Yes,No,No,No,No,No,Yes,Yes,No
CUST-01006,Donald Ramirez,Male,1,67,No,Yes,6,One year,109.57,631.28,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,No,No,Yes,No,No
CUST-01007,Elizabeth Lewis,Female,0,52,Yes,No,10,Month-to-month,30.04,266.57,Electronic check,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No
CUST-01008,Margaret Smith,Female,0,46,No,Yes,4,Month-to-month,86.99,374.2,Mailed check,Fiber optic,Yes,No,No,Yes,No,No,No,Yes,No
CUST-01009,Jessica Taylor,Female,0,49,No,No,6,Month-to-month,28.47,220.4,Mailed check,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No
CUST-01010,Donald Taylor,Male,1,77,Yes,Yes,5,Month-to-month,118.04,544.93,Electronic check,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
CUST-01011,Nancy Lewis,Male,0,63,No,No,7,Month-to-month,33.8,239.14,Mailed check,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No
CUST-01012,James Davis,Male,0,27,Yes,No,2,Month-to-month,113.4,235.06,Electronic check,Fiber optic,Yes,Yes,Yes,No,Yes,No,No,Yes,No
CUST-01013,Joseph Davis,Female,0,21,No,No,4,Month-to-month,99.86,401.93,Credit card,Fiber optic,Yes,Yes,Yes,Yes,No,No,No,Yes,No
CUST-01014,Emily Lewis,Male,0,21,No,No,42,One year,39.17,1661.63,Mailed check,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No
CUST-01015,Kimberly Sanchez,Male,1,84,Yes,Yes,49,Two year,58.05,2827.12,Electronic check,DSL,No,No,No,Yes,No,No,Yes,Yes,No
CUST-01016,Mark Robinson,Male,0,45,No,Yes,33,One year,112.63,3670.86,Bank transfer,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No
CUST-01017,Nancy White,Male,0,59,No,Yes,2,Month-to-month,26.43,73.08,Credit card,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No
CUST-01018,Kimberly Flores,Male,0,25,No,No,2,Month-to-month,18.31,55.74,Credit card,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes
CUST-01019,Jessica Williams,Female,1,80,No,No,5,Month-to-month,30.37,135.55,Mailed check,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No
CUST-01020,Robert Anderson,Female,1,83,Yes,No,5,Month-to-month,114.66,566.55,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
CUST-01021,Donna Perez,Female,0,45,No,Yes,2,Month-to-month,121.16,291.7,Bank transfer,Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
CUST-01022,James Lewis,Female,0,56,Yes,No,1,Month-to-month,99.69,140.01,Mailed check,Fiber optic,Yes,Yes,No,No,No,No,Yes,No,Yes
CUST-01023,Anthony Thompson,Female,0,60,Yes,No,17,Two year,100.05,1731.33,Electronic check,Fiber optic,Yes,Yes,No,No,Yes,No,No,Yes,No
CUST-01024,Margaret Brown,Male,0,19,Yes,No,9,Month-to-month,71.82,642.67,Mailed check,DSL,Yes,No,No,Yes,Yes,No,No,No,No
CUST-01025,Christopher Lewis,Female,0,54,No,No,7,Month-to-month,37.83,292.76,Electronic check,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes
CUST-01026,Donna Hernandez,Male,0,19,Yes,Yes,5,Month-to-month,88.79,465.45,Electronic check,DSL,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
CUST-01027,Matthew Miller,Male,0,50,No,No,15,Two year,82.96,1276.64,Bank transfer,Fiber optic,No,Yes,Yes,No,No,No,No,No,Yes
CUST-01028,David King,Male,0,25,No,Yes,8,Month-to-month,30.47,261.82,Credit card,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes
